1,2,3,4,5
9,13,16,29,45
9,14,17,20,23
9,14,18,19,24
9,14,30,35,40
9,15,19,25,35
9,17,25,32,39
9,18,20,31,43
9,18,27,36,45
9,20,26,33,37
9,22,25,38,43
10,11,20,21,30
10,11,23,44,45
10,12,18,20,28
10,13,14,17,21
10,13,26,39,42
10,13,33,35,38
10,14,27,39,43
10,15,19,20,42
10,15,29,34,39
10,17,29,36,43
10,19,27,35,45
10,19,30,33,44
10,20,33,36,39
10,21,32,43,44
11,12,13,14,15
11,14,25,28,42
11,16,21,26,31
11,30,34,40,44
12,13,17,18,22
12,14,31,33,35
12,15,17,37,40
12,15,26,29,43
12,18,24,30,32
12,19,22,29,32
12,29,40,42,44
13,14,19,39,44
13,15,18,38,40
13,15,32,34,36
13,16,27,30,44
13,17,30,34,41
13,18,20,25,27
13,19,24,32,45
13,19,36,41,42
13,20,23,30,33
14,15,16,17,18
14,15,26,34,40
14,17,24,27,34
14,17,35,38,41
14,22,25,33,36
14,30,43,44,45
15,16,27,32,38
15,17,23,29,35
15,18,21,24,27
15,18,34,37,41
15,18,36,39,42
16,18,20,22,45
16,19,22,40,43
16,20,21,41,43
16,20,23,24,27
17,18,19,20,21
17,18,28,29,41
17,19,25,27,33
17,19,36,38,40
17,20,28,31,42
17,27,28,37,45
18,25,30,37,44
19,20,24,25,30
19,21,42,44,45
19,24,29,33,37
20,23,26,29,32
20,24,28,32,36
21,28,34,35,41
22,24,26,28,30
22,28,29,35,36
23,25,31,33,41
23,29,31,37,39
24,27,30,33,38
24,31,37,38,44
25,26,36,37,38
25,27,29,31,45
25,29,30,34,35
27,28,31,32,35
27,37,38,39,40
28,31,34,37,40
29,32,35,38,39
32,33,37,38,43
32,37,40,42,45
